,A,B,C,D
7/7/2008,95.8,33.5,221,133.8
7/8/2008,96.3,33.5,230,136.8
7/9/2008,90,32.5,225.3,119.7
7/10/2008,89,32.5,225,121.8
7/11/2008,85.9,32.5,227.1,123.1
7/12/2008,,,,
7/13/2008,,,,
7/14/2008,84.1,32.5,225,119.8
7/15/2008,87.6,34.3,233,122
7/16/2008,87.5,35.2,237.8,121.1
7/17/2008,85.3,36.1,236.5,116.7
7/18/2008,86.4,35.2,236,116.8
7/19/2008,,,,
7/20/2008,,,,
7/21/2008,84.5,36.8,235,115
7/22/2008,83.3,37.2,237.5,117
7/23/2008,80.5,35.5,235.8,114
7/24/2008,83.8,35.8,234.3,116
7/25/2008,84.5,36.1,235,116.5
7/26/2008,,,,
7/27/2008,,,,
7/28/2008,83.7,36.4,236.3,117.2
7/29/2008,83,36.5,236.7,116.5
7/30/2008,81.3,36.4,230.8,107.8
7/31/2008,81.7,36.8,230,110.2
8/1/2008,82.2,37.2,230,114.4
8/2/2008,,,,
8/3/2008,,,,
8/4/2008,81.5,38.2,235,116.2
8/5/2008,81,37.8,233.8,114.4
8/6/2008,81.8,37.7,235,114.6
8/7/2008,81.8,37.8,233.2,114.5
8/8/2008,82.8,40.4,241.2,125.7
8/9/2008,,,,
8/10/2008,,,,
8/11/2008,82.8,40.4,239.5,122.2
8/12/2008,82.4,39.5,240.8,120.8
8/13/2008,83.2,40,245.1,122.4
8/14/2008,89.3,40.7,250.4,125.1
8/15/2008,90.2,43.6,255.7,124.4
8/16/2008,,,,
8/17/2008,,,,
8/18/2008,89.5,42.6,261.2,127.3
8/19/2008,90.2,44.1,265.5,128.5
8/20/2008,90.5,44.2,265.8,126.6
8/21/2008,90.2,44.5,266,127.9
8/22/2008,88.2,43,260.2,126.6
8/23/2008,,,,
8/24/2008,,,,
8/25/2008,88.2,43,260.2,126.6
8/26/2008,89.1,43.6,265,128.8
8/27/2008,87.6,44.6,267.9,127.8
8/28/2008,89.8,44.5,268.9,127.3
8/29/2008,90.2,43.5,270.2,124.3
8/30/2008,,,,
8/31/2008,,,,
9/1/2008,90.2,43.5,270.2,124.3
9/2/2008,89.8,43.2,272,124.8
9/3/2008,92.6,45.2,282.8,134.3
9/4/2008,101.7,46,295,145.3
9/5/2008,125.7,50.3,310,167.5
9/6/2008,,,,
9/7/2008,,,,
9/8/2008,118.3,46.8,300,154.9
9/9/2008,128.5,47.3,304.3,167.6
9/10/2008,126.7,47.8,315,168.2
9/11/2008,128.7,48.7,320,170.2
9/12/2008,125,48.3,320,165
9/13/2008,,,,
9/14/2008,,,,
9/15/2008,142.5,70,350,205
9/16/2008,155,68.5,368.3,222.7
9/17/2008,156.7,61.2,349.2,208.4
9/18/2008,145,60,333.8,196
9/19/2008,125,51.3,298.3,162.2
9/20/2008,,,,
9/21/2008,,,,
9/22/2008,115,52,290,145
9/23/2008,121.7,50,302.5,144.8
9/24/2008,121.7,49.4,300,143.4
9/25/2008,115.3,49,313.3,140.7
9/26/2008,114.3,49.8,328.3,147.3
